cfg_id,phase,symbol,return_pct,pf,dd,calmar,trades,hit,halted,params
14,train,SOL/USD,232.09,2.308,-6.38,587.815,459,72.8,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 2, ""trend_filter_enabled"": true, ""min_step_pct"": 0.01, ""directional_enabled"": false, ""leverage"": 3.0}"
14,train,ETH/USD,217.57,2.385,-8.06,404.442,402,76.4,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 2, ""trend_filter_enabled"": true, ""min_step_pct"": 0.01, ""directional_enabled"": false, ""leverage"": 3.0}"
14,train,AVAX/USD,117.8,1.718,-12.39,78.073,413,70.7,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 2, ""trend_filter_enabled"": true, ""min_step_pct"": 0.01, ""directional_enabled"": false, ""leverage"": 3.0}"
14,train,LINK/USD,221.1,2.543,-8.45,399.579,409,74.6,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 2, ""trend_filter_enabled"": true, ""min_step_pct"": 0.01, ""directional_enabled"": false, ""leverage"": 3.0}"
14,train,XRP/USD,177.55,2.064,-10.39,205.09,431,72.9,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 2, ""trend_filter_enabled"": true, ""min_step_pct"": 0.01, ""directional_enabled"": false, ""leverage"": 3.0}"
15,train,SOL/USD,228.26,2.285,-6.38,566.893,460,72.6,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 2, ""trend_filter_enabled"": true, ""min_step_pct"": 0.01, ""directional_enabled"": true, ""leverage"": 3.0}"
15,train,ETH/USD,210.46,2.345,-8.06,376.691,403,76.2,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 2, ""trend_filter_enabled"": true, ""min_step_pct"": 0.01, ""directional_enabled"": true, ""leverage"": 3.0}"
15,train,AVAX/USD,112.42,1.689,-12.45,71.386,414,70.5,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 2, ""trend_filter_enabled"": true, ""min_step_pct"": 0.01, ""directional_enabled"": true, ""leverage"": 3.0}"
15,train,LINK/USD,214.44,2.495,-8.45,374.167,410,74.4,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 2, ""trend_filter_enabled"": true, ""min_step_pct"": 0.01, ""directional_enabled"": true, ""leverage"": 3.0}"
15,train,XRP/USD,174.16,2.048,-10.39,197.216,432,72.7,False,"{""sl_mode"": ""per_position"", ""momentum_hold_max"": 2, ""trend_filter_enabled"": true, ""min_step_pct"": 0.01, ""directional_enabled"": true, ""leverage"": 3.0}"
16,train,SOL/USD,94.22,1.419,-27.06,24.137,592,96.3,False,"{""sl_mode"": ""floor"", ""floor_sl_atr_mult"": 1.0, ""momentum_hold_max"": 0, ""trend_filter_enabled"": false, ""min_step_pct"": 0.0, ""directional_enabled"": false, ""leverage"": 3.0}"
16,train,ETH/USD,159.87,1.946,-16.02,107.77,538,95.7,False,"{""sl_mode"": ""floor"", ""floor_sl_atr_mult"": 1.0, ""momentum_hold_max"": 0, ""trend_filter_enabled"": false, ""min_step_pct"": 0.0, ""directional_enabled"": false, ""leverage"": 3.0}"
16,train,AVAX/USD,147.88,1.857,-40.89,36.242,584,96.4,False,"{""sl_mode"": ""floor"", ""floor_sl_atr_mult"": 1.0, ""momentum_hold_max"": 0, ""trend_filter_enabled"": false, ""min_step_pct"": 0.0, ""directional_enabled"": false, ""leverage"": 3.0}"
16,train,LINK/USD,124.31,1.685,-25.58,41.717,553,96.7,False,"{""sl_mode"": ""floor"", ""floor_sl_atr_mult"": 1.0, ""momentum_hold_max"": 0, ""trend_filter_enabled"": false, ""min_step_pct"": 0.0, ""directional_enabled"": false, ""leverage"": 3.0}"
16,train,XRP/USD,76.66,1.338,-30.66,15.154,553,94.9,False,"{""sl_mode"": ""floor"", ""floor_sl_atr_mult"": 1.0, ""momentum_hold_max"": 0, ""trend_filter_enabled"": false, ""min_step_pct"": 0.0, ""directional_enabled"": false, ""leverage"": 3.0}"
17,train,SOL/USD,-13.31,0.057,-13.36,-2.636,8,75.0,True,"{""sl_mode"": ""floor"", ""floor_sl_atr_mult"": 1.0, ""momentum_hold_max"": 0, ""trend_filter_enabled"": false, ""min_step_pct"": 0.0, ""directional_enabled"": true, ""leverage"": 3.0}"
